a.e.=außeretatmäßig
Kdr.=Kommandeur
Komm.=Kommandeur         
kl.=kladbiçŸe                          
Kl.Bgr.=Kleinbürger                        
Koll.=Kollegium                       
Koll. öff. Fürsorge=Kollegium für öffentliche Fürsorge                        
Koll.Ass.=Kollegienassessor
Kass.=Kollegienassessor
Koll.Rat=Kollegienrat 
K.R.=Kollegienrat          
Koll.Reg.=Kollegienregistrator                        
Koll.Sekr.=Kollegiensekretär                          
Kom. Kr.=Kommandant Krenzer                        
Komm.=Kommandant                        
Komp.=Kompanie                        
kompl.=Komplekt                
konn.=Pferde                                              
Korn.=Kornett                        
korresp.=korrespondierend
Kptn=Kapitän                        
KptnLtnt=Kapitänleutnant
Kptn armus=Kapitän armus                        
Krim.Anwalt=Kriminal-Anwalt                         
Ksp.=Kirchspiel                        
Kt.=Kanton                                                         
Kür.=Kürassier                        
kurl.=kurländisch                        
L'schiff=Linienschiff                                                
Laz.=Lazarett                        
Legsekr.=Legationssekretär                                                
Lin.=Linien(-Batl.) 
lin. orient.=lingua orientalis                             
Ltnt=Leutnant                        
Lt=Leutnant
M.=Mitglied                        
M.d.R.R.=Mitglied des Reichsrates  
Mag. gr. comp.=Magister grammaticae comparative                        
maloross.=malorossijskij                        
Matr.=Matrikel                        
meckl.=mecklenburgisch                        
Med. phlilanthr. Kom.=Medizinisch philanthropisches Komitee 
Med.-phlilanthr. Kom.=Medizinisch-philanthropisches Komitee                         
med.chir.=mediko chirurgisch                                                
MiŸman=midshipman
MiŸm.=midshipman                          
Mil.=Militär                        
Mil.Bez.=Militärbezirk                        
mil.med.=militärmedizinisch                        
Min.=Ministerium                                                
Mitrof. kl.=Mitrofanovskoe kladbiçŸe  
Mkgf=Markgraf	
mon.=monastyr'                                                
Mosk. Ÿast', 3. Quartal=Moskovskaja Ÿast, 3 kvartal                                                  
Mstr.=Meister                        
Murman=Murman Küste                          
Musk.=Musketier                                                                        
Nd. Rasprava=Niedere Rasprava                        
neklass.=neklassnyj                                                 
Nikol'sk.kl. (Al. Nevsk. l.)=Nikol'skoe kladbiçŸe (Aleks. Nevsk. lavra)                         
Nil.=Nilus                       
novoross.=novorossijskij                        
o.=ordentlich                        
OberstLtnt=Oberstleutnant                        
ObçŸ. Russk. parovych masloboen=ObçŸestvo Russkich parovych maslboen                          
Ordin.=Ordinator                       
österr.=österreichisch                                                
Pbg.=Petersburg                        
per.=pereulok                                                 
Petrischule E.=Elementarschule der Petrischule                        
Petrischule G.=Gymnasium der Petrischule                                         
Pion.=Pionier                        
Pjatn. kl.=Pjatnickoe kladbiçŸe                                                                             
podol.=podolisch                        
pog.=pogost                        
poln.=polnisch                                                  
Präs.=Präsident                            
PremMaj=Premiermajor                                                
preuß.=preußisch                                                   
PrLtnt=Premierleutenant                        
procl.=proclamatio                        
Prok.=Prokureur                     
Prov.=Provinz                                                
Quart. Meister=Quartiermeister                      
R.=Rang 
R. Abitur=Realschul-Abitur                         
R.K.=Rotes Kreuz                        
RA=Reichsadel                                                
Red.=Redakteur                        
ref.=reformiert                        
Reform.Schule H.=Handelsabteilung der reformierten Schule                        
Reform.Schule Hand.=Handelsabteilung der reformierten Schule 
Res.=Reserve                        
Rgt.=Regiment 
Regt.=Regiment            
Rittm=Rittmeister                                                
Rota Ism.=Rota Ismajlovskaja                        
RR=Reichsrat                        
S.=Sohn                        
S.R.A.=Svenska Riksarkivet                        
sächs.=sächsisch                                                
Sapp.=Sappeur                                                
Schlüss. Trakt=Schlüsselburger Trakt                                     
schwed.=schwedisch                        
SecLtnt=Secondeleutnant
SecMaj=Secondemajor                        
Sekr.=Sekretär                          
sibir.=sibirisch                                                
Smol. ev.=Smolenskoe kladbiçŸe, evangelische Abteilung                          
Smol. prav.=Smolenskoe kladbiçŸe, orthodoxe Abteilung                          
Sold.Rgt.=Soldaten-Regiment  
span.=spanisch                        
Spaso Andron. mon.=Spaso Andronievskij monastyr'                        
Spaso-Andron. mon.=Spaso-Andronievskij monastyr'                          
Spr.=Sprache                        
sr.=Senior  
sen.=Senior                                   
St. Pbg.=Sankt Petersburg  
St. Pet.=Sankt Petersburg
StA=Staatsarchiv; Stadtarchiv; Standesamt                        
StabsKptn=Stabskapitän
Stan.=Stanica                        
stan. pristav=stanovoj pristav                        
Star. Basm. sloboda=Staraja Basmannaja Sloboda                                                
Stat.=Station                       
Statth.=Statthalter(schaft)                        
StR=Staatsrat                        
StRittm=Stabsrittmeister                        
stud. cam.=Student d. Kameralistik                        
stud. mach.=stud. Maschinenbau                                                                        
T.=Tochter                        
t.f.=till förordnat                        
taur.=taurisch                                                   
TitR=Titulärrat 
TitRat=Titulärrat               
tov.=tovariçŸestvo                            
turkest.=turkestanisch                        
Tušinsk. Vor=Tušinskij Vor                        
Tuçinsk. Vor=Tuçinskij Vor  
üb. Kompl.=über Komplekt                        
überkompl.=überkomplekt                        
Uffz=Unteroffizier                        
Ulan.=Ulanen                        
ULtnt=Unterleutnant                                                
Univ.=Universität                        
V o.=Vasilevskij ostrov                        
V.=Vater                                
Ver.=Verein                        
verh.=verheiratet                        
verw.=verwundet                         
Vlad.=Vladimir-Orden                           
Volk. luth.=luth. Volkovo-Friedhof                        
Volksaufkl.=Volksaufklärung                        
volyn.=volynskij                      
Vorm.Rat=Vormundschaftsrat
Vors.=Vorsitzender                                                
Vved. gory=Vvedenskie gory                                             
w. Mitgl.=wirkliches Mitglied                       
w. stud.=wirklicher Student 
Wappenbest.=Wappenbestätigung                           
WGR=Wirklicher Geheimrat                        
WStR=Wirklicher Staatsrat                        
z.D.=zur Disposition    
zav.=zavod                        
ZD=Zivildienst                                                
zem. naŸ.=Zemskij naŸalnik                                                   
Ziv. Kass.Dept.=Ziviles Kassations-Department                             
zugez.=zugezählt                        
zukomm.=zukommandiert
St Pbg.=Sankt Petersburg  
St. Petersburg=Sankt Petersburg
St.Petersburg=Sankt Petersburg
